company,employmenttype_jobstatus,jobdescription,joblocation_address,jobtitle,postdate,skills
TSymmetry,Full Time,"T-Symmetry is looking for a Security Professionals for a new project located in Raleigh, NC  T-Symmetry provides a wide range of industry-leading information technology services to the federal government and Tier 1 systems integrators. We develop, deploy, and sustain innovative and comprehensive information technology solutions that deliver measurable performance results for our clients. A nationally-recognized leader in providing expert, cleared information technology consultant talent to our clients and industry partners, T-Symmetry provides the responsiveness and flexibility to quickly and effectively adapt to changing program requirements. Position: Security ProfessionalsLocation: Raleigh, NC (only local candidates will be considered at this time) Clearance Requirement: Ability to obtain a Public Trust  T-Symmetry is looking for a number of Security professionals to support a new project. Positions that we are looking for:3 to 5 years of experience in the following roles with strong Splunk experience Security Operations Center AnalystSecurity Operations Center LeadSecurity Threat Analyst - Threat IntelSplunk EngineersSplunk ArchitectsTechnical Security Engineers/Architects in Tanium, Tenable, Invincea, BigFix, Tripwire, SourcefireMaster Security ArchitectsInformation System Security Officer (ISSO)Authorization & Accreditation assessorComputer Forensics/Incident ResponseSecurity Policy DevelopmentIdentity & Access ManagementHuntCloud Infrastructure/Security 1700 K Street NW Washington, Suite 875, D.C. 20006Blake KeyserResource Managerblake.keyser@tsymmetry.com|www.tsymmetry.comDesk: 202-480-2029 Mobile: 703-472-2336 Skype ID: bkeyser62https://www.linkedin.com/in/blake-keyser-37464591 Lets Connect!","Raleigh, NC",Security Professionals,4 days ago,Security Professionals
TSymmetry,Full Time,"T-Symmetry is looking for a Security Professionals for a new project located in Raleigh, NC  T-Symmetry provides a wide range of industry-leading information technology services to the federal government and Tier 1 systems integrators. We develop, deploy, and sustain innovative and comprehensive information technology solutions that deliver measurable performance results for our clients. A nationally-recognized leader in providing expert, cleared information technology consultant talent to our clients and industry partners, T-Symmetry provides the responsiveness and flexibility to quickly and effectively adapt to changing program requirements. Position: Security ProfessionalsLocation: Raleigh, NC (only local candidates will be considered at this time) Clearance Requirement: Ability to obtain a Public Trust  T-Symmetry is looking for a number of Security professionals to support a new project. Positions that we are looking for:3 to 5 years of experience in the following roles with strong Splunk experience Security Operations Center AnalystSecurity Operations Center LeadSecurity Threat Analyst - Threat IntelSplunk EngineersSplunk ArchitectsTechnical Security Engineers/Architects in Tanium, Tenable, Invincea, BigFix, Tripwire, SourcefireMaster Security ArchitectsInformation System Security Officer (ISSO)Authorization & Accreditation assessorComputer Forensics/Incident ResponseSecurity Policy DevelopmentIdentity & Access ManagementHuntCloud Infrastructure/Security 1700 K Street NW Washington, Suite 875, D.C. 20006Blake KeyserResource Managerblake.keyser@tsymmetry.com|www.tsymmetry.comDesk: 202-480-2029 Mobile: 703-472-2336 Skype ID: bkeyser62https://www.linkedin.com/in/blake-keyser-37464591 Lets Connect!","Raleigh, NC",Security Professionals,4 days ago,Security Professionals
"TAD PGS, Inc","Contract W2, 6 Months","TAD PGS, INC. is currently seeking a Computer Systems Software Engineer for one of our clients in Arlington, TX. **Candidate must possess an Interim Secret Security Clearance with the ability to obtain a Secret Security Clearance.** Company Description: Go Beyond. It’s more than a phrase. It’s the way our client lives and the way they work, the way they are seen by our customers and our employees. They never compromise on their promise to Go Beyond. It is who they are, for more than a decade they have delivered superior performance. They are known for our ability to combine know-how and technology quickly and effectively to create solutions. Join their team and their proven promise of integrity, accessibility and continuity. They want you to join them and Go Beyond. Job Overview This is a hands on software engineering position. The successful candidate will support integration and configuration of computational system architecture and system software for real-time simulation applications. Primary Responsibilities: Determine functional requirements for computer software and simulation architectureCreate new simulation models using established and new modeling techniquesDesign, develop, code, integrate and test simulation software to meet requirementsAbility to apply sound engineering principles and develop innovative solutionsAbility to independently or work in a team and provide engineering leadership within the team, experience with cost account management a plusApply software engineering principles to complete assigned tasks and meet schedule commitmentsLead and/or participate in design reviewsPrepare, check and coordinate release of support documentation to appropriate program and company standardsCommunicate systems requirements to other personnel and provide technical leadership and support to other functionsProvide technical leadership to some lower grade engineersInitial assignment will be supporting hardware/software integration, networking, and diskless boot activities Required Qualifications: Previous simulation system experience required, training system simulation experience preferredBachelor's Degree in Computer Science, computer Engineering or related discipline, or equivalent9 plus years of Real-Time development experience9 plus years C++, C, Ada, FORTRAN3 plus years Linux environment5 plus years supporting DIS networkingExperience with Diskless Cloud infrastructure, with SAN and NAS systemsExperience using Virtual environments: VMware, software and appliancesCandidate should be a fast learner with very strong analysis and problem-solving skillsAbility to carry tasks through to completion with only general technical directionExperience working in a team environmentGood communications skillsExperience working in a LINUX,UNIX based computer system environment ClearCase, ClearQuest experience a plus. HLA experience a plus Preferred Qualifications: Master's Degree or equivalent experience in an engineering discipline.Proficiency in C/C++ languages required.Ada, FORTRAN, and other programming language experience/knowledge a plus.TAD PGS, INC. specializes in delivering secure, reliable and rapidly implemented workforce solutions to the U.S. Federal marketplace, including U.S. Government agencies and their prime contractors. With more than 50 years of experience, TAD PGS, INC. has earned a reputation for accountability, a value that government agencies and prime contractors both demand and deserve.TAD PGS, INC. sources professionals for the full spectrum of federal positions, from administrative to management, and those contracts requiring extremely niche-oriented technical skills and the highest levels of security clearance.","Arlington, TX",Computer Systems Software Engineer,1 hour ago,"TAD PGS, INC. specializes in delivering secure, reliable and rapidly implemented workforce solutions to the U.S. Federal marketplace, including U.S. Government agencies and their prime contractors. Wi"
"TAD PGS, Inc","Contract W2, 6 Months","TAD PGS, INC. is currently seeking a Computer Systems Software Engineer for one of our clients in Arlington, TX. **Candidate must possess an Interim Secret Security Clearance with the ability to obtain a Secret Security Clearance.** Company Description: Go Beyond. It’s more than a phrase. It’s the way our client lives and the way they work, the way they are seen by our customers and our employees. They never compromise on their promise to Go Beyond. It is who they are, for more than a decade they have delivered superior performance. They are known for our ability to combine know-how and technology quickly and effectively to create solutions. Join their team and their proven promise of integrity, accessibility and continuity. They want you to join them and Go Beyond. Job Overview This is a hands on software engineering position. The successful candidate will support integration and configuration of computational system architecture and system software for real-time simulation applications. Primary Responsibilities: Determine functional requirements for computer software and simulation architectureCreate new simulation models using established and new modeling techniquesDesign, develop, code, integrate and test simulation software to meet requirementsAbility to apply sound engineering principles and develop innovative solutionsAbility to independently or work in a team and provide engineering leadership within the team, experience with cost account management a plusApply software engineering principles to complete assigned tasks and meet schedule commitmentsLead and/or participate in design reviewsPrepare, check and coordinate release of support documentation to appropriate program and company standardsCommunicate systems requirements to other personnel and provide technical leadership and support to other functionsProvide technical leadership to some lower grade engineersInitial assignment will be supporting hardware/software integration, networking, and diskless boot activities Required Qualifications: Previous simulation system experience required, training system simulation experience preferredBachelor's Degree in Computer Science, computer Engineering or related discipline, or equivalent9 plus years of Real-Time development experience9 plus years C++, C, Ada, FORTRAN3 plus years Linux environment5 plus years supporting DIS networkingExperience with Diskless Cloud infrastructure, with SAN and NAS systemsExperience using Virtual environments: VMware, software and appliancesCandidate should be a fast learner with very strong analysis and problem-solving skillsAbility to carry tasks through to completion with only general technical directionExperience working in a team environmentGood communications skillsExperience working in a LINUX,UNIX based computer system environment ClearCase, ClearQuest experience a plus. HLA experience a plus Preferred Qualifications: Master's Degree or equivalent experience in an engineering discipline.Proficiency in C/C++ languages required.Ada, FORTRAN, and other programming language experience/knowledge a plus.TAD PGS, INC. specializes in delivering secure, reliable and rapidly implemented workforce solutions to the U.S. Federal marketplace, including U.S. Government agencies and their prime contractors. With more than 50 years of experience, TAD PGS, INC. has earned a reputation for accountability, a value that government agencies and prime contractors both demand and deserve.TAD PGS, INC. sources professionals for the full spectrum of federal positions, from administrative to management, and those contracts requiring extremely niche-oriented technical skills and the highest levels of security clearance.","Arlington, TX",Computer Systems Software Engineer,5 hours ago,"TAD PGS, INC. specializes in delivering secure, reliable and rapidly implemented workforce solutions to the U.S. Federal marketplace, including U.S. Government agencies and their prime contractors. Wi"
Tailored Brands,Full Time,"Tailored Brands provides a personal, convenient, one-of-a-kind shopping experience with compelling products and world-class service. Tailored Brands features leading menswear Men’s Wearhouse, Jos. A. Bank and Moores Clothing for Men; designer brand Joseph Abboud; family retailer K&G Fashion Superstore; and corporate apparel leaders TwinHill, Alexandra, Dimensions and Yaffy.Position Summary:Tailored Brands is building a team to take the eCommerce, mobile, and cross-channel customer experience to the next level.  We are building customer-facing multi-channel applications on web, mobile, and tablet platforms.We are looking for a Web( UI) Engineer who is excited about building web applications that customers will enjoy. We are looking for an individual who is fascinated with technology and knows how to use it to build best in class ecommerce applications. Key Accountabilities:• With 5+ years experience in HTML, XHTML, CSS programming skills• Proven JSP coding experience as well as a understanding of Object Oriented Design and Programming• Developing cross-browser and cross-platform compatible solutions• Experience with JQuery and Dojo• Knowledge of working with JavaScript frameworks to create rich interactive content • Experience integrating with server-side code to produce dynamic pages• Excitement about emerging web technologies such as HTML5 and CSS3• Experience working with version control systems• Some experience in AJAX techniques• Knowledge of HTML Email best practice is desirable• Understanding of web application development processes, from the layout/user interface to relational database structures• Understanding the benefits of SEO and the development skills to support SEO are a plus• Skills in Photoshop, Fireworks, or equivalent application(s)• Strong communication and writing skills• Ability to communicate directly with peers, managers, and clients while leading development to a completed and successful solution• Strong organization skills to manage multiple timelines and complete tasks quickly within the constraints timelines and budgets ","Fremont, CA",UI Developer/Engineer,2 days ago,"HTML, XHTML, CSS, CSS3, HTML5"
Tailored Brands,Full Time,"Tailored Brands provides a personal, convenient, one-of-a-kind shopping experience with compelling products and world-class service. Tailored Brands features leading menswear Men’s Wearhouse, Jos. A. Bank and Moores Clothing for Men; designer brand Joseph Abboud; family retailer K&G Fashion Superstore; and corporate apparel leaders TwinHill, Alexandra, Dimensions and Yaffy.Position Summary:Tailored Brands is building a team to take the eCommerce, mobile, and cross-channel customer experience to the next level.  We are building customer-facing multi-channel applications on web, mobile, and tablet platforms.We are looking for a Web( UI) Engineer who is excited about building web applications that customers will enjoy. We are looking for an individual who is fascinated with technology and knows how to use it to build best in class ecommerce applications. Key Accountabilities:• With 5+ years experience in HTML, XHTML, CSS programming skills• Proven JSP coding experience as well as a understanding of Object Oriented Design and Programming• Developing cross-browser and cross-platform compatible solutions• Experience with JQuery and Dojo• Knowledge of working with JavaScript frameworks to create rich interactive content • Experience integrating with server-side code to produce dynamic pages• Excitement about emerging web technologies such as HTML5 and CSS3• Experience working with version control systems• Some experience in AJAX techniques• Knowledge of HTML Email best practice is desirable• Understanding of web application development processes, from the layout/user interface to relational database structures• Understanding the benefits of SEO and the development skills to support SEO are a plus• Skills in Photoshop, Fireworks, or equivalent application(s)• Strong communication and writing skills• Ability to communicate directly with peers, managers, and clients while leading development to a completed and successful solution• Strong organization skills to manage multiple timelines and complete tasks quickly within the constraints timelines and budgets ","Fremont, CA",UI Developer/Engineer,2 days ago,"HTML, XHTML, CSS, CSS3, HTML5"
Aureus Group,"Full Time, Full Time","Talented RPG Developers who want to join a cohesive and energetic team, please check this out! Our stable and growing client in Omaha is building up their team of professionals and looking for an RPG Developer with full RPG exposure. If you are a go-getter with project-based experience in this space, this might be the opportunity you've been waiting for. With a fun, relaxed culture and collaborative team environment, this opportunity is sure to meet & exceed your expectations. *UNABLE TO SPONSOR OR USE CORP-TO-CORP THROUGH 3RD PARTIES AT THIS TIME* Required: 5 or more years of experience within RPG Experience with full RPG exposure, including CL SQL development and Embedded SQL experience Project based experience Direct Hire Opportunity located in Omaha, NE. Salary DOE #WeKeepTalent Position: Application Developer Programming Languages: SQL, Programming Languages: RPG For the most prompt response, please APPLY ONLINE. Resumes may also be sent to isjobs@aureusgroup.com or call (888) 239-5993 for more information. Applicants must be currently authorized to work in the United States on a full-time basis, and we will not sponsor applicants for employment visa status. We do not accept unsolicited applications or resumes from staffing, recruitment or other employment consulting firms. As always, there is never a fee for candidates to utilize our services. EEO/Veteran/Disabled/E-Verify Employer","Omaha, NE","RPG Developer - Omaha, NE",6 hours ago,"Consulting, Developer, Development, Embedded, Programming, Project, RPG, SQL"
Aureus Group,"Full Time, Full Time","Talented RPG Developers who want to join a cohesive and energetic team, please check this out! Our stable and growing client in Omaha is building up their team of professionals and looking for an RPG Developer with full RPG exposure. If you are a go-getter with project-based experience in this space, this might be the opportunity you've been waiting for. With a fun, relaxed culture and collaborative team environment, this opportunity is sure to meet & exceed your expectations. *UNABLE TO SPONSOR OR USE CORP-TO-CORP THROUGH 3RD PARTIES AT THIS TIME* Required: 5 or more years of experience within RPG Experience with full RPG exposure, including CL SQL development and Embedded SQL experience Project based experience Direct Hire Opportunity located in Omaha, NE. Salary DOE #WeKeepTalent Position: Application Developer Programming Languages: SQL, Programming Languages: RPG For the most prompt response, please APPLY ONLINE. Resumes may also be sent to isjobs@aureusgroup.com or call (888) 239-5993 for more information. Applicants must be currently authorized to work in the United States on a full-time basis, and we will not sponsor applicants for employment visa status. We do not accept unsolicited applications or resumes from staffing, recruitment or other employment consulting firms. As always, there is never a fee for candidates to utilize our services. EEO/Veteran/Disabled/E-Verify Employer","Omaha, NE","RPG Developer - Omaha, NE",6 hours ago,"Consulting, Developer, Development, Embedded, Programming, Project, RPG, SQL"
TeamSoft,"Contract Corp-To-Corp, Contract Independent, Contract W2","TeamSoft is looking for an experienced Application Support to join our client in Madison, Wisconsin for a long-term role. This person will be providing over the phone second level support and working in a fast-paced, high volume traige environemnt. Candidates should have experience in the following areas:Experience supporting a Complex vendor or Custom ApplicationsPerforming triageAbility to quickly understand technical conceptsExcellent customer service and communication skillsGreat problem solving skillsCall center environment (preferred) *A full position description will be provided to qualified candidates. Find out why TeamSoft is the Madison area’s technology leader with over 200 IT consultants. Owned, operated, and managed by IT consultants, TeamSoft is the clear choice for your career. Join the TeamSoft family today! Did you know?TeamSoft offers salaried options for many positions that include 5 weeks PTO and great benefits!TeamSoft has been in business since 1996TeamSoft’s owners are local IT professionals who possess a wealth of experience in application development, business analysis, and project managementTeamSoft’s Recruiters are knowledgeable, friendly, and ready to help you make your next great career moveTeamSoft offers a full benefits suite to all of our W2 consultants, including a 401k plan with a 100% vested 4% dollar for dollar matchOur targeted selection process is designed to get to know your strengths and career interests and provide you with the best chance for success in your new positionOur longest running consultant has been with us for 16 yearsConsultants can participate in our charitable giving committee. To date, TeamSoft’s charitable giving committee has donated over $100,000!TeamSoft is owned by local IT professionals. Our team also has deep experience with IT staffing. Our clients understand this and rely on our expertise. That is why TeamSoft is the Madison Area’s largest privately owned IT consulting firm, with more than 200 current consultants! With over 50 active clients, TeamSoft will give you the greatest exposure to the widest range of IT careers.Our owners possess a combined 60+ years of IT consulting experience. Our recruiting and Account Management staff are very well-versed in our client markets. We get you. We know you. We know what you do every day. And we know what you deal with on the job.You take your career seriously and so do we. At TeamSoft you are not just a resume or number. Our goal is to create long-term partnerships with each of our consultants, and according to feedback from many of them, we are very good at this.Click HERE to see what our consultants have to say about working with TeamSoft.TeamSoft – Promote yourself!TeamSoft is an equal employment opportunity employer functioning under an Affirmative Action Plan.","Madison, WI",2nd level application support,20 hours ago,"application support, troubleshooting, help desk, desktop support"
TeamSoft,"Contract Corp-To-Corp, Contract Independent, Contract W2","TeamSoft is looking for an experienced Application Support to join our client in Madison, Wisconsin for a long-term role. This person will be providing over the phone second level support and working in a fast-paced, high volume traige environemnt. Candidates should have experience in the following areas:Experience supporting a Complex vendor or Custom ApplicationsPerforming triageAbility to quickly understand technical conceptsExcellent customer service and communication skillsGreat problem solving skillsCall center environment (preferred) *A full position description will be provided to qualified candidates. Find out why TeamSoft is the Madison area’s technology leader with over 200 IT consultants. Owned, operated, and managed by IT consultants, TeamSoft is the clear choice for your career. Join the TeamSoft family today! Did you know?TeamSoft offers salaried options for many positions that include 5 weeks PTO and great benefits!TeamSoft has been in business since 1996TeamSoft’s owners are local IT professionals who possess a wealth of experience in application development, business analysis, and project managementTeamSoft’s Recruiters are knowledgeable, friendly, and ready to help you make your next great career moveTeamSoft offers a full benefits suite to all of our W2 consultants, including a 401k plan with a 100% vested 4% dollar for dollar matchOur targeted selection process is designed to get to know your strengths and career interests and provide you with the best chance for success in your new positionOur longest running consultant has been with us for 16 yearsConsultants can participate in our charitable giving committee. To date, TeamSoft’s charitable giving committee has donated over $100,000!TeamSoft is owned by local IT professionals. Our team also has deep experience with IT staffing. Our clients understand this and rely on our expertise. That is why TeamSoft is the Madison Area’s largest privately owned IT consulting firm, with more than 200 current consultants! With over 50 active clients, TeamSoft will give you the greatest exposure to the widest range of IT careers.Our owners possess a combined 60+ years of IT consulting experience. Our recruiting and Account Management staff are very well-versed in our client markets. We get you. We know you. We know what you do every day. And we know what you deal with on the job.You take your career seriously and so do we. At TeamSoft you are not just a resume or number. Our goal is to create long-term partnerships with each of our consultants, and according to feedback from many of them, we are very good at this.Click HERE to see what our consultants have to say about working with TeamSoft.TeamSoft – Promote yourself!TeamSoft is an equal employment opportunity employer functioning under an Affirmative Action Plan.","Madison, WI",2nd level application support,3 days ago,"application support, troubleshooting, help desk, desktop support"
TeamSoft,"Contract Corp-To-Corp, Contract Independent, Contract W2, 1+ years","TeamSoft is searching for a talented Java Developer to join their client on a long-term project in Redmond, WA. The ideal candidate with have exposure to languages including Java, JavaScript, Python and Perl.  In this position you will be responsible for developing, enhancing, documenting, and sustaining software systems through an established design control process. You will need to be able to work well with and interact with scientists, technicians, project managers and other developers, so excellent communication skills are required. Having a degree or interest in Molecular Biology, Bioinformatics, or related field of biology is a plus. Required Skills: 5+ years of experience with programming and scripting languages such as Java, JavaScript, Python, Perl 2+ years of experience with relational databases 5+ years of experience in web-based software development and application design 2+ years applied experience with Struts 2, Spring, Dojo, CSS, JSON, AJAX, Servlet/JSP, Tomcat, Apache, Linux   *A full position description will be provided to qualified candidates. Find out why TeamSoft is the technology leader with over 200 IT consultants. Owned, operated, and managed by IT consultants, TeamSoft is the clear choice for your career. Join the TeamSoft family today!Did you know?TeamSoft offers salaried options for many positions that include 5 weeks PTO and great benefits!TeamSoft has been in business since 1996TeamSoft’s owners are local IT professionals who possess a wealth of experience in application development, business analysis, and project managementTeamSoft’s Recruiters are knowledgeable, friendly, and ready to help you make your next great career moveTeamSoft offers a full benefits suite to all of our W2 consultants, including a 401k plan with a 100% vested 4% dollar for dollar matchOur targeted selection process is designed to get to know your strengths and career interests and provide you with the best chance for success in your new positionOur longest running consultant has been with us for 16 yearsConsultants can participate in our charitable giving committee. To date, TeamSoft’s charitable giving committee has donated over $100,000!TeamSoft is owned by local IT professionals. Our team also has deep experience with IT staffing. Our clients understand this and rely on our expertise. That is why TeamSoft is the Madison Area’s largest privately owned IT consulting firm, with more than 200 current consultants! With over 50 active clients, TeamSoft will give you the greatest exposure to the widest range of IT careers.Our owners possess a combined 60+ years of IT consulting experience. Our recruiting and Account Management staff are very well-versed in our client markets.  We get you. We know you. We know what you do every day.  And we know what you deal with on the job.You take your career seriously and so do we. At TeamSoft you are not just a resume or number. Our goal is to create long-term partnerships with each of our consultants, and according to feedback from many of them, we are very good at this.Click HERE to see what our consultants have to say about working with TeamSoft.TeamSoft – Promote yourself!TeamSoft is an equal employment opportunity employer functioning under an Affirmative Action Plan.  ","Redmond, WA",Java Developer,2 days ago,"Struts 2, Spring, Dojo, CSS, JSON, AJAX, Servlet/JSP, Tomcat, Apache, Linux, Java, JavaScript, Python, Perl"
TeamSoft,"Contract Corp-To-Corp, Contract Independent, Contract W2, 1+ years","TeamSoft is searching for a talented Java Developer to join their client on a long-term project in Redmond, WA. The ideal candidate with have exposure to languages including Java, JavaScript, Python and Perl.  In this position you will be responsible for developing, enhancing, documenting, and sustaining software systems through an established design control process. You will need to be able to work well with and interact with scientists, technicians, project managers and other developers, so excellent communication skills are required. Having a degree or interest in Molecular Biology, Bioinformatics, or related field of biology is a plus. Required Skills: 5+ years of experience with programming and scripting languages such as Java, JavaScript, Python, Perl 2+ years of experience with relational databases 5+ years of experience in web-based software development and application design 2+ years applied experience with Struts 2, Spring, Dojo, CSS, JSON, AJAX, Servlet/JSP, Tomcat, Apache, Linux   *A full position description will be provided to qualified candidates. Find out why TeamSoft is the technology leader with over 200 IT consultants. Owned, operated, and managed by IT consultants, TeamSoft is the clear choice for your career. Join the TeamSoft family today!Did you know?TeamSoft offers salaried options for many positions that include 5 weeks PTO and great benefits!TeamSoft has been in business since 1996TeamSoft’s owners are local IT professionals who possess a wealth of experience in application development, business analysis, and project managementTeamSoft’s Recruiters are knowledgeable, friendly, and ready to help you make your next great career moveTeamSoft offers a full benefits suite to all of our W2 consultants, including a 401k plan with a 100% vested 4% dollar for dollar matchOur targeted selection process is designed to get to know your strengths and career interests and provide you with the best chance for success in your new positionOur longest running consultant has been with us for 16 yearsConsultants can participate in our charitable giving committee. To date, TeamSoft’s charitable giving committee has donated over $100,000!TeamSoft is owned by local IT professionals. Our team also has deep experience with IT staffing. Our clients understand this and rely on our expertise. That is why TeamSoft is the Madison Area’s largest privately owned IT consulting firm, with more than 200 current consultants! With over 50 active clients, TeamSoft will give you the greatest exposure to the widest range of IT careers.Our owners possess a combined 60+ years of IT consulting experience. Our recruiting and Account Management staff are very well-versed in our client markets.  We get you. We know you. We know what you do every day.  And we know what you deal with on the job.You take your career seriously and so do we. At TeamSoft you are not just a resume or number. Our goal is to create long-term partnerships with each of our consultants, and according to feedback from many of them, we are very good at this.Click HERE to see what our consultants have to say about working with TeamSoft.TeamSoft – Promote yourself!TeamSoft is an equal employment opportunity employer functioning under an Affirmative Action Plan.  ","Redmond, WA",Java Developer,2 days ago,"Struts 2, Spring, Dojo, CSS, JSON, AJAX, Servlet/JSP, Tomcat, Apache, Linux, Java, JavaScript, Python, Perl"
TeamSoft,"Contract Corp-To-Corp, Contract Independent, Contract W2, 1+ years","TeamSoft is searching for a talented Java Developer to join their client on a long-term project in Redmond, WA. The ideal candidate with have exposure to languages including Java, JavaScript, Python and Perl.  In this position you will be responsible for developing, enhancing, documenting, and sustaining software systems through an established design control process. You will need to be able to work well with and interact with scientists, technicians, project managers and other developers, so excellent communication skills are required. Having a degree or interest in Molecular Biology, Bioinformatics, or related field of biology is a plus. Required Skills: 5+ years of experience with programming and scripting languages such as Java, JavaScript, Python, Perl 2+ years of experience with relational databases 5+ years of experience in web-based software development and application design 2+ years applied experience with Struts 2, Spring, Dojo, CSS, JSON, AJAX, Servlet/JSP, Tomcat, Apache, Linux   *A full position description will be provided to qualified candidates. Find out why TeamSoft is the technology leader with over 200 IT consultants. Owned, operated, and managed by IT consultants, TeamSoft is the clear choice for your career. Join the TeamSoft family today!Did you know?TeamSoft offers salaried options for many positions that include 5 weeks PTO and great benefits!TeamSoft has been in business since 1996TeamSoft’s owners are local IT professionals who possess a wealth of experience in application development, business analysis, and project managementTeamSoft’s Recruiters are knowledgeable, friendly, and ready to help you make your next great career moveTeamSoft offers a full benefits suite to all of our W2 consultants, including a 401k plan with a 100% vested 4% dollar for dollar matchOur targeted selection process is designed to get to know your strengths and career interests and provide you with the best chance for success in your new positionOur longest running consultant has been with us for 16 yearsConsultants can participate in our charitable giving committee. To date, TeamSoft’s charitable giving committee has donated over $100,000!TeamSoft is owned by local IT professionals. Our team also has deep experience with IT staffing. Our clients understand this and rely on our expertise. That is why TeamSoft is the Madison Area’s largest privately owned IT consulting firm, with more than 200 current consultants! With over 50 active clients, TeamSoft will give you the greatest exposure to the widest range of IT careers.Our owners possess a combined 60+ years of IT consulting experience. Our recruiting and Account Management staff are very well-versed in our client markets.  We get you. We know you. We know what you do every day.  And we know what you deal with on the job.You take your career seriously and so do we. At TeamSoft you are not just a resume or number. Our goal is to create long-term partnerships with each of our consultants, and according to feedback from many of them, we are very good at this.Click HERE to see what our consultants have to say about working with TeamSoft.TeamSoft – Promote yourself!TeamSoft is an equal employment opportunity employer functioning under an Affirmative Action Plan.  ","Redmond, WA",Java Developer,3 days ago,"Struts 2, Spring, Dojo, CSS, JSON, AJAX, Servlet/JSP, Tomcat, Apache, Linux, Java, JavaScript, Python, Perl"
NSM Insurance Group,Full Time,"Technical InnovationStays up to date on the latest technologyIdentifies opportunities to advance the business capabilities through technologyUtilizes third party frameworks and libraries when they will be most beneficial towards the success of a projectLeadershipMentors/trains more junior software engineersSuggests improvements to development processesImproves team capabilities and code quality through code reviewsTakes the technical lead role on entire projects of significant scopeProject ExecutionAssists in defining software development project plans, including scoping, scheduling, and implementationRecognizes project risks and provides remediationBuilds services and libraries that are reusable, scalable, and extensibleProvides easy methods for deployment of completed solutionsMinimizes and/or eliminates technical debt when developing solutionsCommunicationCommunicates technical topics in an effective way to non-technical staffCommunicates with team members in a way that enhances the teamAble to deliver basic documentation on completed software projectsProblem SolvingIdentifies critical issues with easeWorks effectively with legacy code, is able to refactor legacy code into more maintainable modules when necessaryCreates simple solutions to complex problems TeamworkFacilitates effective team interactionAcknowledges and appreciates each team member's contributionsInspires confidence to the rest of the team even during high pressure situations QualificationsTo perform this job successfully, an individual must be able to perform each essential duty satisfactorily.  The requirements listed below are representative of the knowledge, skills and /or ability required.  Reasonable accommodation may be made to enable individuals with disabilities to perform the essential functions. Proven ability to be flexible and work hard in a high pressure environment with changing prioritiesExcellent oral and written communication skills (English)Ability to work both independently and as a part of a teamStrong knowledge of SOA using REST (Web API) and WCFExposure to automated builds and deployments (CI)Ability to lead projects through the entire SDLCExtensive experience writing Object-Oriented Code preferably in C# (Clean Code, SOLID)Proficient writing SQL queries, procedures and scriptsCapable of advanced SQL debugging using SQL Profiler and built in Sys Admin procedures and tablesExperience in the .NET stack, including: Visual Studio, SQL Server, TFS, and the .NET Framework (4.5)Proficient knowledge of web technologies such as JQuery, JavaScript, ASP.NET MVC, Bootstrap, HTML5Passion for technologyEducation/Experience:  Bachelor’s degree (B.A.) from four-year college or university; 5+ years of experience delivering software solutions ","Conshohocken, PA",Senior Software Engineer,3 weeks ago,".net, C#"
NSM Insurance Group,Full Time,"Technical InnovationStays up to date on the latest technologyIdentifies opportunities to advance the business capabilities through technologyUtilizes third party frameworks and libraries when they will be most beneficial towards the success of a projectLeadershipMentors/trains more junior software engineersSuggests improvements to development processesImproves team capabilities and code quality through code reviewsTakes the technical lead role on entire projects of significant scopeProject ExecutionAssists in defining software development project plans, including scoping, scheduling, and implementationRecognizes project risks and provides remediationBuilds services and libraries that are reusable, scalable, and extensibleProvides easy methods for deployment of completed solutionsMinimizes and/or eliminates technical debt when developing solutionsCommunicationCommunicates technical topics in an effective way to non-technical staffCommunicates with team members in a way that enhances the teamAble to deliver basic documentation on completed software projectsProblem SolvingIdentifies critical issues with easeWorks effectively with legacy code, is able to refactor legacy code into more maintainable modules when necessaryCreates simple solutions to complex problems TeamworkFacilitates effective team interactionAcknowledges and appreciates each team member's contributionsInspires confidence to the rest of the team even during high pressure situations QualificationsTo perform this job successfully, an individual must be able to perform each essential duty satisfactorily.  The requirements listed below are representative of the knowledge, skills and /or ability required.  Reasonable accommodation may be made to enable individuals with disabilities to perform the essential functions. Proven ability to be flexible and work hard in a high pressure environment with changing prioritiesExcellent oral and written communication skills (English)Ability to work both independently and as a part of a teamStrong knowledge of SOA using REST (Web API) and WCFExposure to automated builds and deployments (CI)Ability to lead projects through the entire SDLCExtensive experience writing Object-Oriented Code preferably in C# (Clean Code, SOLID)Proficient writing SQL queries, procedures and scriptsCapable of advanced SQL debugging using SQL Profiler and built in Sys Admin procedures and tablesExperience in the .NET stack, including: Visual Studio, SQL Server, TFS, and the .NET Framework (4.5)Proficient knowledge of web technologies such as JQuery, JavaScript, ASP.NET MVC, Bootstrap, HTML5Passion for technologyEducation/Experience:  Bachelor’s degree (B.A.) from four-year college or university; 5+ years of experience delivering software solutions ","Conshohocken, PA",Senior Software Engineer,4 days ago,".net, C#"
